mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
7,428,4,roc_auc,hand_till,0.72303579552428765,5,0.01144114447573015,Preprocessor1_Model247
8,286,2,roc_auc,hand_till,0.7229949270104529,5,0.00781246425314589,Preprocessor1_Model104
6,428,4,roc_auc,hand_till,0.7229649588800382,5,0.012070659951723763,Preprocessor1_Model246
7,286,5,roc_auc,hand_till,0.7229473498943736,5,0.008268360016299707,Preprocessor1_Model295
6,214,1,roc_auc,hand_till,0.7229144400352733,5,0.010981935727850917,Preprocessor1_Model030
3,428,5,roc_auc,hand_till,0.7229120552470751,5,0.009452251382606422,Preprocessor1_Model307
4,72,1,roc_auc,hand_till,0.7228307535644838,5,0.006155814564773874,Preprocessor1_Model012
4,357,8,roc_auc,hand_till,0.7227392028606314,5,0.011936533039607719,Preprocessor1_Model492
4,428,5,roc_auc,hand_till,0.7227153955171812,5,0.007179386274777007,Preprocessor1_Model308
6,143,6,roc_auc,hand_till,0.7227051548741529,5,0.013363237882506408,Preprocessor1_Model342
4,428,8,roc_auc,hand_till,0.722697427781654,5,0.010765003615751424,Preprocessor1_Model500
8,500,6,roc_auc,hand_till,0.7226774666324269,5,0.009741079363076227,Preprocessor1_Model384
5,286,7,roc_auc,hand_till,0.7226578412989126,5,0.009786641674398949,Preprocessor1_Model421
5,72,6,roc_auc,hand_till,0.7226262847565427,5,0.008214119300170417,Preprocessor1_Model333
7,428,3,roc_auc,hand_till,0.7225937506460324,5,0.010936931756914315,Preprocessor1_Model183
8,500,7,roc_auc,hand_till,0.7225520098875257,5,0.009099854938936855,Preprocessor1_Model448
6,357,6,roc_auc,hand_till,0.7225427474788586,5,0.010933322397722413,Preprocessor1_Model366
6,286,5,roc_auc,hand_till,0.7225179928904135,5,0.010509645045050654,Preprocessor1_Model294
3,214,2,roc_auc,hand_till,0.722422979735579,5,0.011132090269863636,Preprocessor1_Model091
7,357,4,roc_auc,hand_till,0.722399929178699,5,0.009373511098861694,Preprocessor1_Model239
6,143,8,roc_auc,hand_till,0.7223839069293434,5,0.01182947382349821,Preprocessor1_Model470
3,286,1,roc_auc,hand_till,0.7222648763897772,5,0.010995143933268642,Preprocessor1_Model035
5,286,6,roc_auc,hand_till,0.7222475584013283,5,0.010598408580545055,Preprocessor1_Model357
5,428,4,roc_auc,hand_till,0.7222443449150789,5,0.010257132541959648,Preprocessor1_Model245
8,143,6,roc_auc,hand_till,0.7222264551677745,5,0.012243728732589764,Preprocessor1_Model344
6,214,2,roc_auc,hand_till,0.722195867492296,5,0.0061811669981418444,Preprocessor1_Model094
4,357,4,roc_auc,hand_till,0.722163207042076,5,0.01208621469592117,Preprocessor1_Model236
5,428,3,roc_auc,hand_till,0.7221266810570383,5,0.013341254828063245,Preprocessor1_Model181
5,286,5,roc_auc,hand_till,0.722103348466642,5,0.01040399393442862,Preprocessor1_Model293
5,72,5,roc_auc,hand_till,0.722102956123095,5,0.01122610695752653,Preprocessor1_Model269
8,143,5,roc_auc,hand_till,0.7220676685013986,5,0.011452957720475972,Preprocessor1_Model280
